param,dispName,unit
auclast,AUC\SB{last},h*mg/L
auc24,AUC\SB{24},h*mg/L
auc24.120,AUC\SB{24-120},h*mg/L
aucinf.pred,AUC\SB{$\infty$},h*mg/L
aucall,AUC\SB{all},h*mg/L
auctau,AUC\SB{tau},h*mg/L
auctauss,AUC\SB{tauSS},h*mg/L
aumclast,AUMC\SB{last},h^2*mg/L
auclast.d,AUC\SB{last},h*mg/L
clast.obs,C\SB{last},mg/L
cl.obs,CL\SB{last},L/h
cl.f.obs,CL/F\SB{PRED},L/h
cl.pred,CL\SB{PRED},L/h
cl.f.pred,CL/F\SB{PRED},L/h
clss,CL\SB{SS},L/h
clss.f,CL\SB{SS}/F,L/h
vss.pred,V\SB{SS},L
vz.pred,V\SB{z},L
cmax,C\SB{max},mg/L
cavg,C\SB{avg},mg/L
cmin,C\SB{min},mg/L
clast,C\SB{last},mg/L
cmax.d,C\SB{max}/D,mg/L/mg
cmaxss,"C\SB{max,SS}",mg/L
cend,C\SB{end},mg/L
lambda.z,$\lambda$\SB{z},1/h
tlag,t\SB{lag},h
tmax,T\SB{max},h
tlast,T\SB{last},h
LAMZLL,"$\lambda$\SB{z,LL}",h
hl.lambda.z,t\SB{1/2},h
mrtlast,MRT\SB{last},h
hl.eff,t\SB{1/2eff},h
NA,"""""",""""""
vz.obs,V\SB{z},L
cl24.120.obs,CL\SB{24-120},L/h
